소분류,발생,검거,검거비율
살인,6,7,1.166667
존속살해,1,1,1.000000
자살교사·방조,1,1,1.000000
살인,24,23,0.958333
존속살해,2,2,1.000000
강도,11,9,0.818182
준강도,8,8,1.000000
특수강도,8,8,1.000000
강도상해·치상,13,12,0.923077
강도살인·치사,2,2,1.000000
특가법(강도),1,1,1.000000
강간,54,52,0.962963
준강간,21,21,1.000000
강간상해·치상,17,17,1.000000
미성년자간음(심신미약자),1,1,1.000000
친족관계에의한강간,5,4,0.800000
장애인에대한강간·간음,5,5,1.000000
청소년에대한강간·간음,17,19,1.117647
미성년자의제강간,3,3,1.000000
13세미만미성년자강간·간음,3,3,1.000000
특수강간(준),9,9,1.000000
주거침입강간,3,3,1.000000
유사강간,11,11,1.000000
미성년자의제유사강간,1,1,1.000000
유사성행위,4,4,1.000000
강제추행,235,227,0.965957
준강제추행,13,13,1.000000
강제추행상해·치상,7,7,1.000000
업무상위력등에의한추행,12,11,0.916667
친족관계에의한강제추행,7,7,1.000000
장애인에대한강제추행·추행,21,22,1.047619
청소년에대한강제추행·추행,64,62,0.968750
13세미만미성년자강제추행·추행,28,28,1.000000
공중밀집장소에서의추행,11,12,1.090909
특수강제추행(준),2,2,1.000000
주거침입강제추행,2,2,1.000000
강간등상해·치상,3,3,1.000000
장애인에대한준강간등,1,1,1.000000
청소년에대한강간등,9,6,0.666667
주거침입강간등,2,2,1.000000
특수강도강간등,1,1,1.000000
현주·공용건조물등방화,25,24,0.960000
일반건조물등방화,9,6,0.666667
자기소유건조물등방화,2,2,1.000000
방화연소,1,0,0.000000
폭발성물건파열(과실),1,1,1.000000
절도,6395,3291,0.514621
절도(상습),275,308,1.120000
특수절도,616,536,0.870130
특수절도(상습),11,4,0.363636
야간주거침입절도,216,185,0.856481
야간주거침입절도(상습),5,2,0.400000
불법사용,7,8,1.142857
특가법(절도),38,51,1.342105
상해,1672,1646,0.984450
상해(중),3,4,1.333333
상해(상습),1,1,1.000000
상해치사,3,3,1.000000
존속상해,11,11,1.000000
존속상해(상습),1,1,1.000000
특가법(보복상해등),1,1,1.000000
폭행,3569,3389,0.949566
폭행(상습),2,2,1.000000
폭행치상,26,26,1.000000
폭행치사,3,3,1.000000
특수폭행,44,42,0.954545
특수폭행치상,1,1,1.000000
존속폭행,31,32,1.032258
존속폭행(상습),2,2,1.000000
